Opsumit,ANTI-HIPERTENSIVOS,,,,
Orencia,ANTINFLAMATORIOS ANTIREUMATICOS,ABATACEPTE,,,
Orkambi,OUTROS PRODUTOS PARA O SISTEMA RESPIRATÓRIO,IVACAFTOR +  LUMACAFTOR,,,
Otezla,IMUNOSSUPRESSORES SELETIVOS,,,,
Oxaliplatina,CITOSTATICOS ALQUILANTES,OXALIPLATINA,,,
Oxido de zinco + Nistatina,ANTIMICOTICOS PARA USO TOPICO,,,,
Oxygesic,ANALGESICOS NARCOTICOS,CLORIDRATO DE OXICODONA,,,
Oxypynal,ANALGESICOS NARCOTICOS,CLORIDRATO DE OXICODONA,,,
PACEFLEX,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,,,,
PACEMOL,ANALGESICOS NAO NARCOTICOS,,,,
PACLIMEIZ,ANTINEOPLASICO,,,,
PACLIRED,ANTINEOPLASICO,,,,
PACLITAX,ANTINEOPLASICOS CITOTOXICOS,,,,
PACLITAXEL,ANTINEOPLASICO,,,,
PACO,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL,,,
PACOVÁ,FITOTERAPICO COMPOSTO,,,,
PAINLIDA,ANTINFLAMATORIOS,CAFEÍNA ANIDRA +  CARISOPRODOL +  DICLOFENACO SÓDICO +  PARACETAMOL,,,
PALEXIS,ANALGESICOS NARCOTICOS,,,,
PALMA CHRISTI,FITOTERAPICOS ASSOCIADOS,,,,
PALMITATO DE CLORANFENICOL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PALMITATO DE NEOMICINA + ASSOCIACOES,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
PALMITATO DE RETINOL,MONOVITAMINAS EXCETO VITAMINA K,,,,
PALMITATO DE RETINOL + COLECALCIFEROL + AC BORICO+OX ZINCO,"PROTECAO, APARENCIA E CICATRIZACAO DA PELE E MUCOSAS",,,,
PALMITATO DE RETINOL + COLECALCIFEROL + ACETATO DE TOCOFEROL,VITAMINAS E SUPLEMENTOS MINERAIS,,,,
PALMITATO DE RETINOL + COLECALCIFEROL + OXIDO DE ZINCO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
PALMITATO DE RETINOL + ERGOCALCIFEROL,POLIVITAMINICOS SEM MINERAIS,,,,
PALOCYT,ANTIEMETICOS E ANTINAUSEANTES,CLORIDRATO DE PALONOSETRONA,,,
PALUDAN,ANTIMALARICOS,,,,
PALUQUINA,ANTIMALARICOS,,,,
PALUTHER,ANTIMALARICOS,,,,
PALUX,ANTIMALARICOS,,,,
PAMELOR,ANTIDEPRESSIVOS,,,,
PAMERGAN,ANTI-HISTAMINICOS SISTEMICOS,CLORIDRATO DE PROMETAZINA,,,
PAMIDROM,ANTINEOPLASICO,PAMIDRONATO DISSÓDICO,,,
PAMIGEN,ANTINEOPLASICO,,,,
PAMIGRAF,CONTRASTES RADIOLOGICOS,,,,
PAMILIBBS,ANTINEOPLASICOS CITOTOXICOS,,,,
PAMIRED,ANTINEOPLASICO,,,,
PAN - DERMOCORT,HORMONIOS CORTICOSTEROIDES,,,,
PANAX GINSENG,FITOTERAPICO SIMPLES,,,,
PANAX GINSENG C. A. MEY,FITOTERAPICO SIMPLES,,,,
PANAX GINSENG C.A. MEY.,FITOTERAPICO SIMPLES,,,,
PANCID,ANTIULCEROSOS,,,,
PANCREASE,ENZIMAS DIGESTIVAS,,,,
PANCREATINA + DIMETICONA + ASSOC,DIGESTIVO ANTIMETICOS E ANTINAUSEANTES,,,,
PANCURON,BLOQUEADOR NEUROMUSCULAR,BROMETO DE PANCURÔNIO,,,
PANCURÔNIO,ANESTESICOS GERAIS INJETAVEIS,,,,
PANFUGAN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
PANGEST,ANTIEMETICOS E ANTINAUSEANTES,,,,
PANKREOFLAT,DIGESTIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
PANOTIL,MEDICAMENTOS COM ACAO NO APARELHO AUDITIVO,,,,
PANOXYL GEL,PRODUTOS ANTI-ACNE,,,,
PANPROMID,ANTIDIABETICOS,,,,
PANT,ANTIALOPECIA,MINOXIDIL,,,
PANT SEC,ANTIALOPECIA,MINOXIDIL,,,
PANTASUN,ANTIACIDOS E ANTIULCEROSOS,,,,
PANTEC,ANTIMICOTICOS SISTEMICOS,,,,
PANTELMIN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
PANTEZOL,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
PANTHOR,ANTIACIDOS E ANTIULCEROSOS SIMPLES,,,,
PANTIUM,ANTINEOPLASICO,PACLITAXEL,,,
PANTOCAL,ANTIACIDOS E ANTIULCEROSOS,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,,,
PANTODEX,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,DEXPANTENOL,,,
PANTOGAR,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,CISTINA +  LEVEDURA +  NITRATO DE TIAMINA +  PANTOTENATO DE CÁLCIO +  QUERATINA +  ÁCIDO AMINOBENZÓICO,,,
PANTOMICINA,MACROLIDEOS,,,,
PANTOMIX,ANTIACIDOS E ANTIULCEROSOS,,,,
PANTONACS,ANTIULCEROSOS,,,,
PANTONAX,ANTIULCEROSOS,,,,
PANTOPAC,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,,,,
PANTOPAZ,ANTIULCEROSOS,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,,,
PANTOPEPT,ENZIMAS DIGESTIVAS,,,,
PANTOPRAZOL,ANTIACIDOS E ANTIULCEROSOS SIMPLES,,,,
PANTOPRAZOL MAGNÉSICO DIIDRATADO,ANTIACIDOS E ANTIULCEROSOS SIMPLES,,,,
PANTOPRAZOL SODICO,ANTIULCEROSOS,,,,
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,ANTIULCEROSOS,,,,
PANTOPRAZOL SÓDICO SESQUIIDRATADO,ANTIACIDOS E ANTIULCEROSOS SIMPLES,,,,
PANTOPRIN,ANTIULCEROSOS,,,,
PANTOZOL,ANTIACIDOS E ANTIULCEROSOS SIMPLES,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,,,
PANVEL,ANTINFLAMATORIOS,,,,
PANVERMIN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,,,,
PANVITROP,HEPATOPROTETORES E LIPOTROPICOS,,,,
PANZOMED,ANTIULCEROSOS,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,,,
PANZYTRAT,ENZIMAS DIGESTIVAS,,,,
PAPAVERINA + ASSOCIAÇÕES,ANTIESPASMODICOS,,,,
PAPAVERINA+ASSOCIAÇÕES,ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS,,,,
PAPULESS,PRODUTOS ANTI-ACNE,,,,
PAQUETÁ,OUTROS PRODUTOS COM ACAO NO APARELHO CARDIOVASCULAR,,,,
PAR,ANALGESICOS NAO NARCOTICOS,,,,
PARACEF,ANALGESICOS NAO NARCOTICOS,,,,
PARACEMIL,ANALGESICOS NAO NARCOTICOS,,,,
PARACEN,ANALGESICOS,,,,
PARACETAMOL,ANALGESICOS,,,,
PARACETAMOL + ASSOCIAÇÕES,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + CAFEÍNA,ANALGESICOS NAO NARCOTICOS,,,,
PARACETAMOL + CARISOPRODOL + DICL SODICO + CAFEINA,ANTINFLAMATORIOS,,,,
PARACETAMOL + CLORIDRATO DE FENILPROPANOLAMINA,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,CLORIDRATO DE PSEUDOEFEDRINA +  PARACETAMOL,,,
PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA (PORT. 344/98 -  LISTA D1),PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + CLORIDRATO DE PSEUDOEFEDRINA (PORT. 344/98 - LISTA D1),PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + CODEINA,ANALGESICOS NARCOTICOS,,,,
PARACETAMOL + FENILPROPANOLAMINA + FENILTOLOXAMINA,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + FOSFATO DE CODEÍNA,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL,,,
PARACETAMOL + FOSFATO DE CODEÍNA (PORT 344/98 LISTA A2 ADENDO),ANALGESICOS NARCOTICOS,,,,
PARACETAMOL + GUAIFENESINA +CLORIDRATO DE PSEUDOEFEDRINA,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + IBUPROFENO,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + MALEATO CLORFENAMINA + CLORIDRATO FENILEFRINA,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL + OXIFENILBUTAZONA,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
PARACETAMOL + VIT. C + ASSOCIAÇÕES,ANTI-HISTAMINICOS SISTEMICOS,,,,
PARACETAMOL ASSOCIADO,ANALGESICOS,,,,
PARACETAMOL+ACIDO ACETILSALICILICO+CAFEINA,ANALGESICOS NAO NARCOTICOS,,,,
PARACETAMOL+BROMETO DE N-BUTILESCOPOLAMINA,ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS,,,,
PARACETAMOL+CAFEÍNA,ANALGESICOS NAO NARCOTICOS,,,,
PARACETAMOL+DIMETINDENO+RUTOSIDEOS+ACASCORBICO+FENILEFRINA,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARACETAMOL+FOSFATO DE CODEINA,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL,,,
PARACETAMOL+MALEATO DE CLORFENAMINA+CLORIDRATO DE FENILEFRINA,ANALGESICOS NAO NARCOTICOS,,,,
PARACETAMOL+TRIPSINA+ALFA-QUIMIOTRIPSINA,ANALGESICOS,,,,
PARACETREX,ANALGESICOS NAO NARCOTICOS,,,,
PARADOR DUOCAF,ANALGESICOS NAO NARCOTICOS,,,,
PARAFEN,ANALGESICOS NAO NARCOTICOS,,,,
PARAFLAN,ANALGESICOS NAO NARCOTICOS,,,,
PARALDRIN,ANALGESICOS NARCOTICOS,FOSFATO DE CODEÍNA +  PARACETAMOL,,,
PARALEX,RELAXANTES MUSCULARES CENTRAIS SIMPLES,,,,
PARALGEN,ANALGESICOS NAO NARCOTICOS,,,,
PARALGEN SINUS,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PARALGESIC,ANALGESICOS NAO NARCOTICOS,,,,
PARALON,RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS,,,,
PARAMOL,ANALGESICOS,,,,
PARAPLATIN,ANTINEOPLASICO,,,,
PARAPSYL,LAXANTES SUAVIZADORES OU EMOLIENTES,,,,
PARAQUEIMOL,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
PARARTRIN,ANTINFLAMATORIOS,IBUPROFENO,,,
PARASEDOR,ANALGESICOS NAO NARCOTICOS,,,,
PARASIMED,ANTIPARASITARIOS,,,,
PARASIN,ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL,ALBENDAZOL,,,
PARATICET,ANTIPARATIREOIDEANOS,,,,
PARATOSSE,ANTITUSSIGENOS,,,,
PARATRAM,ANALGESICOS NARCOTICOS,CLORIDRATO DE TRAMADOL +  PARACETAMOL,,,
PARAZOL,ANTIPARASITARIOS,,,,
PARCEL,ANALGESICOS CONTRA ENXAQUECA,,,,
PARECOXIBE SODICO,ANTINFLAMATORIOS,,,,
PARENZILA,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
PARENZYME,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
PARENZYME AMPICILINA,PENICILINA DE AMPLO ESPECTRO,,,,
PARENZYME ANALGÉSICO,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,,,,
PARENZYME TETRACICLINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PAREXEL,ANTINEOPLASICOS CITOTOXICOS,,,,
PARIET,ANTIULCEROSOS,RABEPRAZOL SÓDICO,,,
PARINEX,ANTICOAGULANTES,,,,
PARINORTH,ANTICOAGULANTES,,,,
PARKEXIN,ANTIPARKINSONIANOS,,,,
PARKI,ANTIPARKINSONIANOS,,,,
PARKIDOPA,ANTIPARKINSONIANOS,CARBIDOPA +  LEVODOPA,,,
PARKINSOL,ANTIPARKINSONIANOS,,,,
PARKLEN,ANTIPARKINSONIANOS,,,,
PARLIB,HORMONIO GONADOTROFICO,,,,
PARLODEL,OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES,MESILATO DE BROMOCRIPTINA,,,
PARNAPARINA,ANTITROMBOTICO,,,,
PARNATE,ANTIDEPRESSIVOS,SULFATO DE TRANILCIPROMINA,,,
PAROMOMICINA + METILBENZETONIO,ANTINFECCIOSOS TOPICOS,,,,
PAROX,ANTIDEPRESSIVOS,CLORIDRATO DE PAROXETINA,,,
PAROXILIV,ANTIDEPRESSIVOS,,,,
PARTOGAMA SDF,IMUNOGLOBULINAS,,,,
PARVULAN,IMUNOMODULADOR,CORYNEBACTERIUM PARVUM,,,
PARZO,ANTINFLAMATORIOS,CELECOXIBE,,,
PARÁ,ANTIPARASITARIOS,NITAZOXANIDA,,,
PASALIX,FITOTERAPICO COMPOSTO,CRATAEGUS RHIPIDOPHYLLA GAND. +  PASSIFLORA INCARNATA L. +  SALIX ALBA L.,,,
PASALIX PI,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.,,,
PASH,ANTIACIDOS E ANTIULCEROSOS SIMPLES,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,,,
PASIC,FITOTERAPICO COMPOSTO,,,,
PASMODEX,ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS,,,,
PASSAJÁ,PRODUTOS ODONTOLOGICOS,,,,
PASSANEURO,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO,,,,
PASSARE,,DIOSMINA +  FLAVONÓIDES EXPRESSOS EM HESPERIDINA +  HESPERIDINA,,,
PASSEROTA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,,,,
PASSICALM,FITOTERAPICO COMPOSTO,,,,
PASSIENE,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.,,,
PASSIFLORA,FITOTERAPICO COMPOSTO,,,,
PASSIFLORA ALTHAIA,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.,,,
PASSIFLORA CATARINENSE,ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES,PASSIFLORA INCARNATA L.,,,
PASSIFLORA COMPOSTA,FITOTERAPICO COMPOSTO,,,,
PASSIFLORA DA ÍNDIA,PRODUTOS NATURAIS ASSOCIADOS,,,,
PASSIFLORA INCARNATA + SALIX ALBA + CRATAEGUS OXYACAN,PRODUTOS NATURAIS ASSOCIADOS,,,,
PASSIFLORA INCARNATA L,FITOTERAPICO SIMPLES,,,,
PASSIFLORA KLEIN,ANSIOLITICOS SIMPLES + FITOTERAPICO SIMPLES,PASSIFLORA INCARNATA L.,,,
PASSIFLORA ORIENT,FITOTERAPICO SIMPLES,,,,
PASSIFLORINE,FITOTERAPICO COMPOSTO,,,,
PASSIFLORINE PI,ANSIOLITICOS SIMPLES,PASSIFLORA INCARNATA L.,,,
PASSIFURIL,NITROFURANICOS,,,,
PASSILIN,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
PASSIPAX,FITOTERAPICO SIMPLES,,,,
PASTA D''AGUA,CICATRIZANTES,,,,
PASTA D''ÁGUA BRAVIR,"PROTECAO, APARENCIA E CICATRIZACAO DA PELE E MUCOSAS",,,,
PASTA D´ÁGUA MENTOLADA,CICATRIZANTES,,,,
PASTA PARISIENSE,CERATOLITICOS E CERATOPLASTICOS,,,,
PASTILHAS CEPACOL,ANTISSEPTICO,,,,
PASTILHAS SAÚDE,ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE,,,,
PATAGEX,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
PATANOL,MEDICAMENTOS COM ACAO NO APARELHO VISUAL,,,,
PATZ SL,HIPNOTICOS,HEMITARTARATO DE ZOLPIDEM,,,
PAUCIBACILAR,HANSENOSTATICOS,RIFAMPINA,,,
PAULINIA CUPANA,FITOTERAPICO SIMPLES,,,,
"PAULINIA CUPANA, KUNTH",FITOTERAPICO SIMPLES,,,,
PAXEL,ANTINEOPLASICOS CITOTOXICOS,,,,
PAXIL CR,ANTIDEPRESSIVOS,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,,,
PAXORAL,IMUNOMODULADOR,,,,
PAXTRAT,ANTIDEPRESSIVOS,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,,,
PAXVITA,FITOTERAPICO SIMPLES + NEUROPSICOESTIMULANTES,,,,
PAZINE,FITOTERAPICO SIMPLES,,,,
PECTALIN,ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA,,,,
PED ELEMENT,NUTRIENTES PARENTERAIS,,,,
PED-BENZIL,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,,,,
PEDIA-TRIC,REIDRATANTES ORAIS,,,,
PEDIACEL,VACINAS,,,,
PEDIALYTE 45,REIDRATANTES ORAIS,,,,
PEDIALYTE 45 ZINCO,REIDRATANTES ORAIS,CITRATO DE POTÁSSIO MONOIDRATADO +  CITRATO DE SÓDIO DI-HIDRATADO +  CLORETO DE SÓDIO +  GLICONATO DE ZINCO +  GLICOSE MONOIDRATADA,,,
PEDIALYTE 60 ZINCO,REIDRATANTES ORAIS,CITRATO DE SÓDIO DI-HIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  GLICONATO DE ZINCO +  GLICOSE MONOIDRATADA,,,
PEDIALYTE 90,REIDRATANTES ORAIS,,,,
PEDIAMINO TAU,NUTRIENTES PARENTERAIS,,,,
PEDIDERM,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,DELTAMETRINA,,,
PEDILETAN,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,PERMETRINA,,,
PEDRA HUME,CICATRIZANTES,,,,
PEDRA UME,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,,,,
PEDRIM,ANTISSEPTICOS URINARIOS SIMPLES,,,,
PEFLACIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PEFLOXACINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PEFLOXITAN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PEGASYS,ANTIVIROTICOS,,,,
PEGINTRON,OUTROS ANTINEOPLASICOS,,,,
PEITORAL DE ANGICO,PRODUTOS NATURAIS ASSOCIADOS,,,,
PEITORAL DE ANGICO PELOTENSE,PRODUTOS NATURAIS ASSOCIADOS,,,,
PEITORAL INFANTIL,EXPECTORANTES,,,,
PEITORAL MARTEL,EXPECTORANTES BALSAMICOS E MUCOLITICO,,,,
PELGRAZ,OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE,PEGFILGRASTIM,,,
PELLETRAT,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,DEXPANTENOL,,,
PEMEGLENN,ANTINEOPLASICO,PEMETREXEDE DISSÓDICO +  PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO,,,
PEMEKER,ANTINEOPLASICO,,,,
PEMETREXEDE,ANTINEOPLASICO,PEMETREXEDE DISSÓDICO HEMIPENTAIDRATADO,,,
PEMETREXEDE DISSODICO,ANTINEOPLASICO,,,,
PEMETREXEDE DISSÓDICO,ANTINEOPLASICO,,,,
PEMTRYX,ANTINEOPLASICO,PEMETREXEDE +  PEMETREXEDE DISSÓDICO,,,
PEN-SYN,PENICILINA G E DERIVADOS (BENZILPENICILINAS),,,,
PEN-V-CIL,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PEN-VE-ORAL,FENOXIPENICILINAS,FENOXIMETILPENICILINA,,,
PENCICLOVIR,ANTIVIROTICOS,,,,
PENCIL 400,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PENCIL B,PENICILINA G E DERIVADOS (BENZILPENICILINAS),,,,
PENCILIN-V,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PENETRO,EXPECTORANTES BALSAMICOS E MUCOLITICO,EUCALIPTOL +  MENTOL +  TERPINA MONOIDRATADA +  ÁCIDO BENZÓICO,,,
PENEXIL,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,CILASTATINA +  IMIPENÉM,,,
PENFLUX,NEUROLEPTICOS,,,,
PENI  PROC,PENICILINA G E DERIVADOS (BENZILPENICILINAS),,,,
PENICILAMINA,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,,,,
PENICILINA ASSOCIADA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PENICILINA BENZATINA,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PENICILINA G BENZATINA,PENICILINA G E DERIVADOS (BENZILPENICILINAS),,,,
PENICILINA G POTASSICA,PENICILINA G E DERIVADOS (BENZILPENICILINAS),,,,
PENKARON,PENICILINA DE AMPLO ESPECTRO,,,,
PENKAVE,PENICILINA G E DERIVADOS (BENZILPENICILINAS),,,,
PENLES,ANALGESICOS NAO NARCOTICOS,,,,
PENRETARD,PENICILINA DE AMPLO ESPECTRO,,,,
PENTACARINAT,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PENTACETATO DE DIETILENOTRIAMINO SODICO TRICALCICO (DTPA),PRODUTOS PARA DIAGNOSTICO POR IMAGEM,,,,
PENTAGLOBIN,IMUNOGLOBULINAS,IMUNOGLOBULINA HUMANA ,,,
PENTALAC,LAXANTES,,,,
PENTALOX,VASODILATADORES,,,,
PENTAMID,ANTIPARASITARIOS,,,,
PENTAMIDINA,ANTIPARASITARIOS,,,,
PENTASA,OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO,MESALAZINA,,,
PENTASPAN,SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS,,,,
PENTAVIRAL,ANTIPARASITARIOS,,,,
PENTAXIM,VACINAS,,,,
PENTETATO DE CALCIO TRISSODICO,CONTRASTES RADIOLOGICOS,,,,
PENTOPRAZOL SODICO,ANTIULCEROSOS,,,,
PENTOX,VASODILATADORES,,,,
PENTOXIBAL,VASODILATADORES,,,,
PENTOXIFILINA,VASODILATADORES,,,,
PENTOXIN,VASODILATADORES,,,,
PENTRAT,VASODILATADORES,,,,
PENVICILIN,ANTIBIOTICOS SISTEMICOS SIMPLES,,,,
PENVIR,ANTIVIROTICOS,,,,
PENVIR LÁBIA,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),,,,
PEP-RANI,ANTIULCEROSOS,,,,
PEPGASTRIN,ANTIACIDO,,,,
PEPRAZOL,ANTIULCEROSOS,,,,
PEPSAMAR,ANTIACIDOS E ANTIULCEROSOS SIMPLES,,,,
PEPSAPLUS,ANTIACIDOS E ANTIULCEROSOS,,,,
PEPSICAPS,ANTIULCEROSOS,,,,
PEPSINA + DIASTASE + PANCREATINA + DIMETICONA,ADSORVENTES E ANTIFISETICOS INTESTINAIS SIMPLES,,,,
PEPSIVIT,ESTIMULANTES DO APETITE,,,,
PEPSOGEL,ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS,,,,
PEPTAK,ANTIULCEROSOS,,,,
PEPTGEL,ANTIACIDO,,,,
PEPTIDEOS DERIVADOS DO FATOR VIII SUINO,ANTI-HEMORRAGICOS,,,,
PEPTO BISMOL,ANTIACIDO,,,,
PEPTOPANCREASI,ENZIMAS DIGESTIVAS,,,,
PEPTOSAN,ANTIDIARREICOS ADSORVENTES E ANTIFISETICOS,,,,
PEPTOVIT,ANTIULCEROSOS,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,,,
PEPTOZIL,ANTIACIDO,,,,
PEPTRAT,ANTIULCEROSOS,OMEPRAZOL,,,
PEPTULAN,ANTIULCEROSOS,,,,
PERCOF,ANTITUSSIGENOS SIMPLES,LEVODROPROPIZINA,,,
PERCOIDE,GLICOCORTICOIDES SISTEMICOS,,,,
PERDAMA,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
PERENTAL,VASODILATADORES PERIFERICOS,,,,
PERFECT ANTIOXIDANT,POLIVITAMINICOS COM MINERAIS,,,,
PERFEITO DIGESTIVO,PRODUTOS NATURAIS ASSOCIADOS,,,,
PERFENOL,PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE,,,,
PERFER,ANTIANEMICOS,,,,
PERGO,ANTI-HISTAMINICOS SISTEMICOS,DICLORIDRATO DE HIDROXIZINA,,,
PERGONAL,HORMONIO GONADOTROFICO,,,,
PERGOVERIS,HORMONIO GONADOTROFICO,ALFAFOLITROPINA +  ALFALUTROPINA,,,
PERIATIN,ANTI-HISTAMINICOS SISTEMICOS,,,,
PERIAVITA,POLIVITAMINICOS SEM MINERAIS,,,,
PERICARD PLUS,ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS,,,,
PERICOR,ANTI-HIPERTENSIVOS,,,,
PERIDAL,ANTIEMETICOS E ANTINAUSEANTES,,,,
PERIDONA,ANTIEMETICOS E ANTINAUSEANTES,,,,
PERINDOPRIL,ANTI-HIPERTENSIVOS,,,,
PERINDOPRIL ERBUMINA,ANTI-HIPERTENSIVOS SIMPLES,PERINDOPRIL ERBUMINA,,,
PERIODONTIL,ANTIBIOTICOS SISTEM -ASSOC  MEDIC  ENTRE ANTINFEC,,,,
PERIPAN 400 DEPOTABS,VASODILATADORES CEREBRAIS,,,,
PERITOSTERIL,SOLUCOES PARA DIALISE PERITONIAL,CLORETO DE CÁLCIO DI-HIDRATADO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE SÓDIO +  GLICOSE MONOIDRATADA +  LACTATO DE SÓDIO,,,
PERIVASC,ANTIVARICOSOS DE ACAO SISTEMICA,DIOSMINA +  FLAVONÓIDES EXPRESSOS EM HESPERIDINA,,,
PERJETA HER,ANTINEOPLASICO,TRASTUZUMABE +  PERTUZUMABE,,,
PERLADOL,NEUROLEPTICOS,,,,
PERLID,NEUROLEPTICOS,RISPERIDONA,,,
PERLUMES,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,ALGESTONA ACETOFENIDA +  ENANTATO DE ESTRADIOL,,,
PERLUTAN,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,,,,
PERMANGANATO DE POTASSIO,ANTINFECCIOSOS TOPICOS,,,,
PERMANGANATO DE POTÁSSIO,ANTISSEPTICO,,,,
PERMASSIN,ANTISSEPTICO,,,,
PERMEAR,ANTINFLAMATORIOS ANTIREUMATICOS,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.,,,
PERMENATI,ESCABICIDAS E OUTROS ECTOPARASITICIDAS,PERMETRINA,,,
